time,patched_value_cfs,proxy_sum_q_cfs,proxy_adjusted_q_cfs
2020-10-10,725.71997927048,772.4,725.71997927048
2020-10-11,725.0199792704802,771.7,725.0199792704802
2020-10-12,730.21997927048,776.9,730.21997927048
2020-10-13,723.21997927048,769.9,723.21997927048
2020-10-14,725.6199792704801,772.3,725.6199792704801
2020-10-15,722.1199792704801,768.8,722.1199792704801
2020-10-16,719.8199792704802,766.5,719.8199792704802
2020-10-17,731.0199792704802,777.7,731.0199792704802
2020-10-18,741.5199792704802,788.2,741.5199792704802
2020-10-19,757.8199792704802,804.5,757.8199792704802
2020-10-20,704.1199792704801,750.8,704.1199792704801
2020-10-21,680.71997927048,727.4,680.71997927048
2020-10-22,632.5199792704802,679.2,632.5199792704802
2020-10-23,608.71997927048,655.4,608.71997927048
2020-10-24,611.71997927048,658.4,611.71997927048
2020-10-25,635.4199792704801,682.1,635.4199792704801
2020-10-26,740.3199792704802,787.0,740.3199792704802
2020-10-27,706.3199792704802,753.0,706.3199792704802
2020-10-28,683.3199792704802,730.0,683.3199792704802
2020-10-29,676.3199792704802,723.0,676.3199792704802
2020-10-30,662.3199792704802,709.0,662.3199792704802
2020-10-31,668.3199792704802,715.0,668.3199792704802
2020-11-01,667.3199792704802,714.0,667.3199792704802
2020-11-02,599.3199792704802,646.0,599.3199792704802
2020-11-03,572.3199792704802,619.0,572.3199792704802
2020-11-04,573.3199792704802,620.0,573.3199792704802
2020-11-05,574.3199792704802,621.0,574.3199792704802
2020-11-06,577.3199792704802,624.0,577.3199792704802
2020-11-07,586.3199792704802,633.0,586.3199792704802
2020-11-08,637.3199792704802,684.0,637.3199792704802
2020-11-09,595.3199792704802,642.0,595.3199792704802
2020-11-10,526.3199792704802,573.0,526.3199792704802
2020-11-11,494.31997927048013,541.0,494.31997927048013
2020-11-12,475.31997927048013,522.0,475.31997927048013
2020-11-13,470.31997927048013,517.0,470.31997927048013
2020-11-14,464.31997927048013,511.0,464.31997927048013
2020-11-15,462.31997927048013,509.0,462.31997927048013
2020-11-16,468.31997927048013,515.0,468.31997927048013
2020-11-17,467.31997927048013,514.0,467.31997927048013
2020-11-18,469.31997927048013,516.0,469.31997927048013
2020-11-19,466.31997927048013,513.0,466.31997927048013
2020-11-20,464.31997927048013,511.0,464.31997927048013
2020-11-21,499.31997927048013,546.0,499.31997927048013
2020-11-22,516.3199792704802,563.0,516.3199792704802
2020-11-23,521.3199792704802,568.0,521.3199792704802
