date,inflow_scale,inflow_change_pct,storage_af,storage_maf
2021-10-22,1.3,30.000000000000004,1246292.8308493844,1.2462928308493844
2021-10-23,1.3,30.000000000000004,1245949.2027502109,1.2459492027502108
2021-10-24,1.3,30.000000000000004,1245932.6572956655,1.2459326572956655
2021-10-25,1.3,30.000000000000004,1245779.6490312028,1.2457796490312028
2021-10-26,1.3,30.000000000000004,1245288.2688659136,1.2452882688659137
2021-10-27,1.3,30.000000000000004,1245435.5746510376,1.2454355746510375
2021-10-28,1.3,30.000000000000004,1245331.1779568228,1.2453311779568228
2021-10-29,1.3,30.000000000000004,1245268.2358080624,1.2452682358080625
2021-10-30,1.3,30.000000000000004,1245310.0291964922,1.2453100291964923
2021-10-31,1.3,30.000000000000004,1245124.9217584757,1.2451249217584757
2021-11-01,1.3,30.000000000000004,1245085.2027502113,1.2450852027502113
2021-11-02,1.3,30.000000000000004,1245064.3267171537,1.2450643267171537
2021-11-03,1.3,30.000000000000004,1244929.2110146743,1.2449292110146744
2021-11-04,1.3,30.000000000000004,1244940.4837419472,1.2449404837419473
2021-11-05,1.3,30.000000000000004,1244810.9382874018,1.2448109382874017
2021-11-06,1.3,30.000000000000004,1244767.277130377,1.244767277130377
2021-11-07,1.3,30.000000000000004,1244564.3515105422,1.2445643515105422
2021-11-08,1.3,30.000000000000004,1244341.9961386414,1.2443419961386413
2021-11-09,1.3,30.000000000000004,1244176.9361559632,1.2441769361559631
2021-11-10,1.3,30.000000000000004,1243792.341114641,1.243792341114641
2021-11-11,1.3,30.000000000000004,1243762.0022716657,1.2437620022716658
2021-11-12,1.3,30.000000000000004,1243501.3907014178,1.2435013907014179
2021-11-13,1.3,30.000000000000004,1243125.1427675334,1.2431251427675334
2021-11-14,1.3,30.000000000000004,1242871.4816105086,1.2428714816105086
2021-11-15,1.3,30.000000000000004,1242717.0022716657,1.2427170022716658
2021-11-16,1.3,30.000000000000004,1242449.861775798,1.242449861775798
2021-11-17,1.3,30.000000000000004,1242055.1840898476,1.2420551840898475
2021-11-18,1.3,30.000000000000004,1241773.167560922,1.241773167560922
2021-11-19,1.3,30.000000000000004,1241378.4898749716,1.2413784898749716
2021-11-20,1.3,30.000000000000004,1240850.3245857155,1.2408503245857156
2021-11-21,1.3,30.000000000000004,1240645.266734476,1.240645266734476
2021-11-22,1.3,30.000000000000004,1240214.8865691868,1.2402148865691869
2021-11-23,1.3,30.000000000000004,1239904.5146683604,1.2399045146683603
2021-11-24,1.3,30.000000000000004,1239572.919627038,1.239572919627038
2021-11-25,1.3,30.000000000000004,1239274.051858443,1.239274051858443
2021-11-26,1.3,30.000000000000004,1238856.5725196002,1.2388565725196001
2021-11-27,1.3,30.000000000000004,1238539.8535113358,1.2385398535113359
2021-11-28,1.3,30.000000000000004,1238185.8535113358,1.2381858535113357
2021-11-29,1.3,30.000000000000004,1237858.63037084,1.2378586303708399
2021-11-30,1.3,30.000000000000004,1237537.3576435673,1.2375373576435673
2021-12-01,1.3,30.000000000000004,1237198.2336766252,1.2371982336766252
2021-12-02,1.3,30.000000000000004,1236842.2584700137,1.2368422584700138
2021-12-03,1.3,30.000000000000004,1236461.291527865,1.236461291527865
2021-12-04,1.3,30.000000000000004,1235982.5394617494,1.2359825394617494
2021-12-05,1.3,30.000000000000004,1235500.812189022,1.235500812189022
2021-12-06,1.3,30.000000000000004,1235013.1345030717,1.2350131345030717
2021-12-07,1.3,30.000000000000004,1234526.4568171212,1.2345264568171213
2021-12-08,1.3,30.000000000000004,1234033.8287179477,1.2340338287179478
2021-12-09,1.3,30.000000000000004,1233894.4568171212,1.2338944568171213
2021-12-10,1.3,30.000000000000004,1233995.679957617,1.233995679957617
2021-12-11,1.3,30.000000000000004,1233670.6634286914,1.2336706634286914
2021-12-12,1.3,30.000000000000004,1233060.42375927,1.23306042375927
2021-12-13,1.3,30.000000000000004,1232185.3907014187,1.2321853907014186
2021-12-14,1.3,30.000000000000004,1231871.8783047246,1.2318718783047247
2021-12-15,1.3,30.000000000000004,1231495.8865691873,1.2314958865691872
2021-12-16,1.3,30.000000000000004,1230687.3080567906,1.2306873080567906
2021-12-17,1.3,30.000000000000004,1230016.1840898485,1.2300161840898485
2021-12-18,1.3,30.000000000000004,1229439.870040262,1.2294398700402618
2021-12-19,1.3,30.000000000000004,1228569.4072303446,1.2285694072303446
2021-12-20,1.3,30.000000000000004,1227927.6386353034,1.2279276386353033
2021-12-21,1.3,30.000000000000004,1227155.357643568,1.2271553576435679
2021-12-22,1.3,30.000000000000004,1226602.8452468738,1.2266028452468738
2021-12-23,1.3,30.000000000000004,1225923.192354312,1.225923192354312
2021-12-24,1.3,30.000000000000004,1227410.0849162955,1.2274100849162954
2021-12-25,1.3,30.000000000000004,1228118.6634286924,1.2281186634286925
2021-12-26,1.3,30.000000000000004,1228333.9725528746,1.2283339725528746
2021-12-27,1.3,30.000000000000004,1227996.4684206434,1.2279964684206433
2021-12-28,1.3,30.000000000000004,1228024.5180074202,1.2280245180074203
2021-12-29,1.3,30.000000000000004,1227882.9808173378,1.2278829808173377
2021-12-30,1.3,30.000000000000004,1227503.8237925444,1.2275038237925444
2021-12-31,1.3,30.000000000000004,1227231.3775115528,1.2272313775115529
2022-01-01,1.3,30.000000000000004,1226712.3857760157,1.2267123857760156
2022-01-02,1.3,30.000000000000004,1226199.3444537017,1.2261993444537018
2022-01-03,1.3,30.000000000000004,1225748.7824702307,1.2257487824702307
2022-01-04,1.3,30.000000000000004,1224969.5593297349,1.224969559329735
2022-01-05,1.3,30.000000000000004,1224350.4023049413,1.2243504023049414
2022-01-06,1.3,30.000000000000004,1223978.1874289082,1.2239781874289082
