date,dam_safety,flood_safety,niip_delivery,hydropower,esa_min_flow,storage,spring_peak_release
2014-09-04,0,0,2.99225114,0.478491738,2.48351642,1.62747907,-0.0634920635
2014-09-05,0,0,3,0.475722876,2.48330961,1.62404937,-0.0634920635
2014-09-06,0,0,3,0.489360533,2.48441591,1.62085269,-0.0634920635
2014-09-07,0,0,3,0.49410748,2.4847998,1.61688441,-0.0634920635
2014-09-08,0,0,3,0.493831572,2.4847998,1.61317773,-0.0634920635
2014-09-09,0,0,3,0.467202273,2.4826735,1.61051235,-0.0634920635
2014-09-10,0,0,3,0.0390635451,2.35767147,1.61159829,-0.0634920635
2014-09-11,0,0,3,0,0,1.61260522,-0.0634920635
2014-09-12,0,0,3,0.00126030254,2.32907631,1.61230894,-0.0634920635
2014-09-13,0,0,3,0.128504907,2.40796979,1.61087996,-0.0634920635
2014-09-14,0,0,3,0.176331146,2.42721151,1.60942487,-0.0634920635
2014-09-15,0,0,3,0.232933315,2.44490797,1.60769156,-0.0634920635
2014-09-16,0,0,3,0.310892868,2.46250603,1.60604231,-0.0634920635
2014-09-17,0,0,3,0.330921596,2.46605577,1.60399014,-0.0634920635
2014-09-18,0,0,3,0.308227297,2.46203712,1.60284213,-0.0634920635
2014-09-19,0,0,3,0.369754233,2.47200932,1.60117939,-0.0634920635
2014-09-20,0,0,3,0.388509282,2.47450455,1.59944871,-0.0634920635
2014-09-21,0,0,3,0.0805182873,2.38373176,1.60130057,-0.0634920635
2014-09-22,0,0,3,0,0,1.6044547,-0.0634920635
2014-09-23,0,0,3,0,0,1.60786486,-0.0634920635
2014-09-24,0,0,3,0,0,1.61171468,-0.0634920635
2014-09-25,0,0,3,0,0,1.61407762,-0.0634920635
2014-09-26,0,0,3,0,0,1.61580458,-0.0634920635
2014-09-27,0,0,3,0,0,1.61722251,-0.0634920635
2014-09-28,0,0,3,0,0,1.62267058,-0.0634920635
2014-09-29,0,0,3,0,0,1.64219759,-0.0634920635
2014-09-30,0,0,-0.00518014772,0,0,1.65589427,-0.0634920635
2014-10-01,0,0,-0.0307724292,0,0,1.66341141,-0.05
2014-10-02,0,0,-0.0328664201,0,0,1.66938374,-0.05
2014-10-03,0,0,-0.0408724655,0,0,1.67402942,-0.05
2014-10-04,0,0,-0.0471797786,0,0,1.67845544,-0.05
