structure,metric,mon_num,month,mean,p10,p90,std,n_years
Turley,pct_all_days,1,Jan,10.479112903225806,2.3469677419354844,18.559967741935484,8.789343772573698,4
Turley,pct_all_days,2,Feb,11.521285714285714,2.633428571428572,18.792,8.151637753312183,5
Turley,pct_all_days,3,Mar,8.281935483870967,2.7729032258064517,13.228903225806452,5.472811884868619,5
Turley,pct_all_days,4,Apr,10.458133333333333,6.2016,15.491466666666666,4.6248246909717805,5
Turley,pct_all_days,5,May,20.973032258064514,13.104064516129032,28.02,7.366020668520683,5
Turley,pct_all_days,6,Jun,16.235599999999998,7.645200000000001,22.8,7.753515125412473,5
Turley,pct_all_days,7,Jul,13.916,9.588000000000001,19.206,4.906549704221898,5
Turley,pct_all_days,8,Aug,14.099483870967742,10.286,19.77845161290323,5.895174875762115,5
Turley,pct_all_days,9,Sep,15.652000000000001,10.344,21.136000000000003,5.531425675176338,5
Turley,pct_all_days,10,Oct,10.57825806451613,6.0040000000000004,15.42,4.625989764442676,5
Turley,pct_all_days,11,Nov,3.8531999999999997,0.0,9.824,5.315679749571075,5
Turley,pct_all_days,12,Dec,14.196290322580644,9.609322580645161,18.78325806451613,8.108689988516314,2
Turley,pct_diverting_days,1,Jan,15.67,6.0630000000000015,21.397,10.463062011986102,4
Turley,pct_diverting_days,2,Feb,15.032,5.672000000000001,21.156,8.867768603205656,5
Turley,pct_diverting_days,3,Mar,15.6,5.872,22.233999999999998,9.246423632951283,5
Turley,pct_diverting_days,4,Apr,16.072,9.677999999999999,22.148,6.350777117802199,5
Turley,pct_diverting_days,5,May,21.188,13.533999999999999,28.02,7.182880341478618,5
Turley,pct_diverting_days,6,Jun,16.486,8.146,22.8,7.571048804492016,5
Turley,pct_diverting_days,7,Jul,13.916,9.588000000000001,19.206,4.906549704221898,5
Turley,pct_diverting_days,8,Aug,14.262,10.286,20.266000000000002,6.2498775988014375,5
Turley,pct_diverting_days,9,Sep,15.652000000000001,10.344,21.136000000000003,5.531425675176338,5
Turley,pct_diverting_days,10,Oct,11.858,6.0040000000000004,16.446,5.30645550249882,5
Turley,pct_diverting_days,11,Nov,7.040000000000001,0.0,17.524,9.532145613659079,5
Turley,pct_diverting_days,12,Dec,20.055,19.955,20.155,0.1767766952966369,2
Dam→Farmington total,pct_all_days,1,Jan,26.74620967741935,20.834709677419355,33.015967741935484,6.611988173642937,4
Dam→Farmington total,pct_all_days,2,Feb,27.173886699507385,16.68477339901478,34.942571428571426,9.85237415816987,5
Dam→Farmington total,pct_all_days,3,Mar,24.293612903225807,20.793677419354836,27.311032258064515,3.245385553079536,5
Dam→Farmington total,pct_all_days,4,Apr,41.836733333333335,27.9992,58.10413333333334,15.087978419920939,5
Dam→Farmington total,pct_all_days,5,May,62.83232258064517,30.08051612903226,91.39477419354839,30.378401936823003,5
Dam→Farmington total,pct_all_days,6,Jun,54.098,22.056000000000004,76.6592,29.513598763959642,5
Dam→Farmington total,pct_all_days,7,Jul,46.05032258064516,24.45432258064516,66.41032258064516,21.23260987274821,5
Dam→Farmington total,pct_all_days,8,Aug,44.193225806451615,39.16045161290322,49.76464516129032,5.314538474670334,5
Dam→Farmington total,pct_all_days,9,Sep,46.889599999999994,34.2596,61.376866666666665,13.484880610438408,5
Dam→Farmington total,pct_all_days,10,Oct,44.25974193548387,29.03445161290323,65.44935483870968,18.95564817904197,5
Dam→Farmington total,pct_all_days,11,Nov,23.845333333333333,15.8832,31.012,7.711479768645069,5
Dam→Farmington total,pct_all_days,12,Dec,23.767311827956988,15.352193548387095,31.236322580645158,10.1367021214698,3
Dam→Farmington total,pct_diverting_days,1,Jan,33.3575,28.027,37.706,5.672344459451194,4
Dam→Farmington total,pct_diverting_days,2,Feb,32.626,26.378,38.762,6.096296416677914,5
Dam→Farmington total,pct_diverting_days,3,Mar,32.756,26.306,38.21,6.326806461398988,5
Dam→Farmington total,pct_diverting_days,4,Apr,48.682,32.768,69.73599999999999,18.91088363879382,5
Dam→Farmington total,pct_diverting_days,5,May,64.506,31.788000000000004,92.522,30.228367967854304,5
Dam→Farmington total,pct_diverting_days,6,Jun,55.176,24.046,76.87400000000001,29.059956641399175,5
Dam→Farmington total,pct_diverting_days,7,Jul,48.208000000000006,27.022000000000002,69.598,21.286872010701803,5
Dam→Farmington total,pct_diverting_days,8,Aug,46.652,39.647999999999996,51.76,6.308880249299394,5
Dam→Farmington total,pct_diverting_days,9,Sep,50.484,35.192,63.263999999999996,14.469382502373758,5
Dam→Farmington total,pct_diverting_days,10,Oct,46.496,29.672,68.742,20.243016820622366,5
Dam→Farmington total,pct_diverting_days,11,Nov,29.657999999999998,20.544,35.768,8.538443652094918,5
Dam→Farmington total,pct_diverting_days,12,Dec,28.25333333333333,17.5,36.956,12.945177995428773,3
