date,initial_storage_af,initial_storage_maf,storage_af,storage_maf
2023-01-31,1600000.0,1.6,903039.9646286248,0.9030399646286248
2023-02-01,1600000.0,1.6,902435.2639566801,0.9024352639566801
2023-02-02,1600000.0,1.6,901893.4201961975,0.9018934201961974
2023-02-03,1600000.0,1.6,901228.4710180376,0.9012284710180376
2023-02-04,1600000.0,1.6,900448.3359886153,0.9004483359886153
2023-02-05,1600000.0,1.6,900059.4027314099,0.9000594027314098
2023-02-06,1600000.0,1.6,899582.0029959828,0.8995820029959828
2023-02-07,1600000.0,1.6,899030.248524669,0.899030248524669
2023-02-08,1600000.0,1.6,898367.8238350056,0.8983678238350057
2023-02-09,1600000.0,1.6,897842.2966121752,0.8978422966121752
2023-02-10,1600000.0,1.6,897181.4014130852,0.8971814014130852
2023-02-11,1600000.0,1.6,896570.6703509606,0.8965706703509606
2023-02-12,1600000.0,1.6,896231.2249833681,0.896231224983368
2023-02-13,1600000.0,1.6,895324.1021808386,0.8953241021808386
2023-02-14,1600000.0,1.6,895485.8946711909,0.8954858946711909
2023-02-15,1600000.0,1.6,895026.0326186516,0.8950260326186517
2023-02-16,1600000.0,1.6,894610.8465740532,0.8946108465740532
2023-02-17,1600000.0,1.6,893856.9072287958,0.8938569072287958
2023-02-18,1600000.0,1.6,893320.0392931896,0.8933200392931897
2023-02-19,1600000.0,1.6,892923.7189595827,0.8929237189595828
2023-02-20,1600000.0,1.6,892599.6106797004,0.8925996106797004
2023-02-21,1600000.0,1.6,892319.8407302051,0.8923198407302051
2023-02-22,1600000.0,1.6,892414.4453618025,0.8924144453618025
2023-02-23,1600000.0,1.6,892134.6147490366,0.8921346147490367
2023-02-24,1600000.0,1.6,891476.3205680483,0.8914763205680483
2023-02-25,1600000.0,1.6,890923.2542568977,0.8909232542568977
2023-02-26,1600000.0,1.6,890405.6134051124,0.8904056134051124
2023-02-27,1600000.0,1.6,890071.8143983114,0.8900718143983114
2023-02-28,1600000.0,1.6,889768.1205252291,0.8897681205252291
2023-03-01,1600000.0,1.6,889546.444572838,0.889546444572838
2023-03-02,1600000.0,1.6,889367.0900702311,0.8893670900702311
2023-03-03,1600000.0,1.6,889267.6153434991,0.8892676153434991
2023-03-04,1600000.0,1.6,889250.2843275418,0.8892502843275418
2023-03-05,1600000.0,1.6,889411.0921161385,0.8894110921161386
2023-03-06,1600000.0,1.6,889577.6225059243,0.8895776225059243
2023-03-07,1600000.0,1.6,890387.44628972,0.89038744628972
2023-03-08,1600000.0,1.6,890887.6935014443,0.8908876935014443
2023-03-09,1600000.0,1.6,891959.0632006387,0.8919590632006388
2023-03-10,1600000.0,1.6,892949.932162099,0.8929499321620991
2023-03-11,1600000.0,1.6,895242.9091917418,0.8952429091917419
2023-03-12,1600000.0,1.6,898960.816070158,0.898960816070158
2023-03-13,1600000.0,1.6,902250.0370472318,0.9022500370472318
2023-03-14,1600000.0,1.6,905527.7170330822,0.9055277170330821
2023-03-15,1600000.0,1.6,909710.1351109135,0.9097101351109136
2023-03-16,1600000.0,1.6,917618.4229677012,0.9176184229677012
2023-03-17,1600000.0,1.6,921955.7148766116,0.9219557148766117
2023-03-18,1600000.0,1.6,924757.0234121323,0.9247570234121323
2023-03-19,1600000.0,1.6,926633.0919976305,0.9266330919976306
2023-03-20,1600000.0,1.6,929222.8786268738,0.9292228786268738
2023-03-21,1600000.0,1.6,932939.0326535358,0.9329390326535358
2023-03-22,1600000.0,1.6,941712.6622712112,0.9417126622712112
2023-03-23,1600000.0,1.6,947865.0100001768,0.9478650100001769
2023-03-24,1600000.0,1.6,951833.5197401866,0.9518335197401866
2023-03-25,1600000.0,1.6,955241.1473639575,0.9552411473639575
2023-03-26,1600000.0,1.6,957753.7221984973,0.9577537221984973
2023-03-27,1600000.0,1.6,959863.2519398633,0.9598632519398633
2023-03-28,1600000.0,1.6,962080.3747145234,0.9620803747145235
2023-03-29,1600000.0,1.6,964251.6219413173,0.9642516219413173
2023-03-30,1600000.0,1.6,966092.9867560284,0.9660929867560284
2023-03-31,1600000.0,1.6,968826.0780077011,0.968826078007701
2023-04-01,1600000.0,1.6,971314.726961336,0.971314726961336
2023-04-02,1600000.0,1.6,974465.0769082486,0.9744650769082486
2023-04-03,1600000.0,1.6,978667.3112198017,0.9786673112198017
2023-04-04,1600000.0,1.6,984096.2679607249,0.9840962679607249
2023-04-05,1600000.0,1.6,988398.9943223859,0.9883989943223859
2023-04-06,1600000.0,1.6,991704.2865021083,0.9917042865021083
2023-04-07,1600000.0,1.6,994896.5098342061,0.9948965098342061
2023-04-08,1600000.0,1.6,998363.0359607366,0.9983630359607366
2023-04-09,1600000.0,1.6,1002239.5949764521,1.002239594976452
2023-04-10,1600000.0,1.6,1007658.1036904345,1.0076581036904344
2023-04-11,1600000.0,1.6,1015254.3772375204,1.0152543772375204
2023-04-12,1600000.0,1.6,1025545.5371790912,1.0255455371790911
2023-04-13,1600000.0,1.6,1038393.4570272102,1.0383934570272102
2023-04-14,1600000.0,1.6,1052072.0672381017,1.0520720672381016
2023-04-15,1600000.0,1.6,1061140.4561720716,1.0611404561720716
2023-04-16,1600000.0,1.6,1069253.590125245,1.0692535901252451
2023-04-17,1600000.0,1.6,1078545.7568966374,1.0785457568966375
2023-04-18,1600000.0,1.6,1090063.3862971587,1.0900633862971587
2023-04-19,1600000.0,1.6,1100850.5152770544,1.1008505152770545
2023-04-20,1600000.0,1.6,1110259.7487504617,1.1102597487504617
2023-04-21,1600000.0,1.6,1117987.2463180562,1.1179872463180562
2023-04-22,1600000.0,1.6,1125426.9375860158,1.1254269375860158
2023-04-23,1600000.0,1.6,1132464.7106207972,1.1324647106207972
2023-04-24,1600000.0,1.6,1140390.3323953918,1.1403903323953917
2023-04-25,1600000.0,1.6,1147401.5299080422,1.1474015299080422
2023-04-26,1600000.0,1.6,1154139.5071922764,1.1541395071922764
2023-04-27,1600000.0,1.6,1161362.1807868064,1.1613621807868064
2023-04-28,1600000.0,1.6,1169830.119633379,1.169830119633379
2023-04-29,1600000.0,1.6,1178786.8569544917,1.1787868569544917
2023-04-30,1600000.0,1.6,1189681.472446595,1.1896814724465952
2023-05-01,1600000.0,1.6,1201896.8856682538,1.2018968856682537
2023-05-02,1600000.0,1.6,1215915.1581524892,1.2159151581524892
2023-05-03,1600000.0,1.6,1228920.644710694,1.228920644710694
2023-05-04,1600000.0,1.6,1241461.339786856,1.241461339786856
2023-05-05,1600000.0,1.6,1253874.4182486527,1.2538744182486528
2023-05-06,1600000.0,1.6,1263576.7033483759,1.2635767033483758
2023-05-07,1600000.0,1.6,1273362.4050160353,1.2733624050160353
2023-05-08,1600000.0,1.6,1282511.2635012495,1.2825112635012494
2023-05-09,1600000.0,1.6,1293286.973400947,1.293286973400947
2023-05-10,1600000.0,1.6,1300855.31933628,1.30085531933628
2023-05-11,1600000.0,1.6,1307470.715909055,1.307470715909055
2023-05-12,1600000.0,1.6,1315744.3582178496,1.3157443582178496
2023-05-13,1600000.0,1.6,1324211.485415415,1.324211485415415
2023-05-14,1600000.0,1.6,1331625.6396637394,1.3316256396637394
2023-05-15,1600000.0,1.6,1339616.5894092643,1.3396165894092642
2023-05-16,1600000.0,1.6,1349166.1107904848,1.3491661107904849
2023-05-17,1600000.0,1.6,1363813.2779953813,1.3638132779953813
2023-05-18,1600000.0,1.6,1375168.8430278043,1.3751688430278042
2023-05-19,1600000.0,1.6,1385863.666580259,1.385863666580259
2023-05-20,1600000.0,1.6,1397737.292962157,1.397737292962157
2023-05-21,1600000.0,1.6,1411789.2487762664,1.4117892487762664
2023-05-22,1600000.0,1.6,1417369.651740204,1.4173696517402041
2023-05-23,1600000.0,1.6,1423913.192828277,1.4239131928282769
2023-05-24,1600000.0,1.6,1431444.4627194009,1.431444462719401
2023-05-25,1600000.0,1.6,1438957.3986841114,1.4389573986841113
2023-05-26,1600000.0,1.6,1446989.5082820978,1.4469895082820978
2023-05-27,1600000.0,1.6,1450900.521610051,1.450900521610051
2023-05-28,1600000.0,1.6,1453075.4764077011,1.4530754764077012
2023-05-29,1600000.0,1.6,1453733.2446394635,1.4537332446394635
2023-05-30,1600000.0,1.6,1456339.9813400416,1.4563399813400417
2023-05-31,1600000.0,1.6,1455797.8445304483,1.4557978445304482
2023-06-01,1600000.0,1.6,1456077.721801013,1.456077721801013
2023-06-02,1600000.0,1.6,1452274.318918098,1.452274318918098
2023-06-03,1600000.0,1.6,1453966.8516667224,1.4539668516667223
2023-06-04,1600000.0,1.6,1455730.0427957606,1.4557300427957605
2023-06-05,1600000.0,1.6,1458518.2719198454,1.4585182719198453
2023-06-06,1600000.0,1.6,1461207.48012164,1.46120748012164
2023-06-07,1600000.0,1.6,1459593.7868834054,1.4595937868834055
2023-06-08,1600000.0,1.6,1457923.8931113116,1.4579238931113117
2023-06-09,1600000.0,1.6,1454390.6808799515,1.4543906808799514
2023-06-10,1600000.0,1.6,1457598.8328117142,1.4575988328117142
2023-06-11,1600000.0,1.6,1459415.0029367139,1.459415002936714
2023-06-12,1600000.0,1.6,1458089.362670989,1.458089362670989
2023-06-13,1600000.0,1.6,1460525.2670465223,1.4605252670465223
2023-06-14,1600000.0,1.6,1463050.7316659146,1.4630507316659147
2023-06-15,1600000.0,1.6,1464246.0846441246,1.4642460846441245
2023-06-16,1600000.0,1.6,1465230.2365270688,1.4652302365270689
2023-06-17,1600000.0,1.6,1466720.7768329235,1.4667207768329236
2023-06-18,1600000.0,1.6,1467711.5419096474,1.4677115419096474
2023-06-19,1600000.0,1.6,1467944.3626816925,1.4679443626816924
2023-06-20,1600000.0,1.6,1468881.3710220552,1.4688813710220552
2023-06-21,1600000.0,1.6,1468900.5727272783,1.4689005727272784
2023-06-22,1600000.0,1.6,1468482.131654042,1.468482131654042
2023-06-23,1600000.0,1.6,1468530.9658398076,1.4685309658398076
2023-06-24,1600000.0,1.6,1468310.7696974217,1.4683107696974218
2023-06-25,1600000.0,1.6,1468149.2829393079,1.468149282939308
2023-06-26,1600000.0,1.6,1467832.4007385622,1.4678324007385621
2023-06-27,1600000.0,1.6,1467190.1754156498,1.4671901754156498
2023-06-28,1600000.0,1.6,1466423.4179822234,1.4664234179822235
2023-06-29,1600000.0,1.6,1465668.3135088573,1.4656683135088573
2023-06-30,1600000.0,1.6,1464528.4099708863,1.4645284099708864
2023-07-01,1600000.0,1.6,1463104.7976837433,1.4631047976837432
2023-07-02,1600000.0,1.6,1461470.1444006318,1.4614701444006317
2023-07-03,1600000.0,1.6,1459701.2180876099,1.4597012180876099
2023-07-04,1600000.0,1.6,1457798.3790862616,1.4577983790862616
2023-07-05,1600000.0,1.6,1456139.4188155772,1.4561394188155772
2023-07-06,1600000.0,1.6,1454179.5381684694,1.4541795381684695
2023-07-07,1600000.0,1.6,1452350.0554215885,1.4523500554215885
2023-07-08,1600000.0,1.6,1450216.1002824912,1.4502161002824911
2023-07-09,1600000.0,1.6,1447947.1745913594,1.4479471745913595
2023-07-10,1600000.0,1.6,1445984.5547260367,1.4459845547260368
2023-07-11,1600000.0,1.6,1443565.3555362436,1.4435653555362435
2023-07-12,1600000.0,1.6,1441352.869144577,1.4413528691445772
2023-07-13,1600000.0,1.6,1439324.8126211043,1.4393248126211042
2023-07-14,1600000.0,1.6,1437093.349845204,1.437093349845204
2023-07-15,1600000.0,1.6,1434850.2367848754,1.4348502367848754
2023-07-16,1600000.0,1.6,1432669.9661677608,1.4326699661677609
2023-07-17,1600000.0,1.6,1430405.10863682,1.43040510863682
2023-07-18,1600000.0,1.6,1428260.9166556068,1.4282609166556068
2023-07-19,1600000.0,1.6,1426209.9695965115,1.4262099695965114
2023-07-20,1600000.0,1.6,1424203.4535871886,1.4242034535871886
2023-07-21,1600000.0,1.6,1422119.1585066728,1.4221191585066728
2023-07-22,1600000.0,1.6,1419947.258264821,1.419947258264821
2023-07-23,1600000.0,1.6,1418077.9837399118,1.4180779837399118
2023-07-24,1600000.0,1.6,1416149.965839776,1.416149965839776
2023-07-25,1600000.0,1.6,1414388.9190697905,1.4143889190697905
2023-07-26,1600000.0,1.6,1412441.395621871,1.412441395621871
2023-07-27,1600000.0,1.6,1410822.689411459,1.410822689411459
2023-07-28,1600000.0,1.6,1409135.1393965534,1.4091351393965534
2023-07-29,1600000.0,1.6,1407914.3110815436,1.4079143110815435
2023-07-30,1600000.0,1.6,1406029.319686145,1.406029319686145
2023-07-31,1600000.0,1.6,1405003.7805953973,1.4050037805953974
2023-08-01,1600000.0,1.6,1403391.0023538852,1.4033910023538851
2023-08-02,1600000.0,1.6,1402153.2296854723,1.4021532296854724
2023-08-03,1600000.0,1.6,1400312.0246657974,1.4003120246657974
2023-08-04,1600000.0,1.6,1398535.4610301051,1.398535461030105
