task_id,experiment,seed,status,git_commit,plan_id,window,metric_profile,benchmark_sha256,objective_pass_count,objective_count,all_objectives_passed,policy_total_spill_af,historic_total_spill_af,delta_total_spill_af,margin_total_spill_af,pass_total_spill_af,policy_storage_frac_of_max_possible,historic_storage_frac_of_max_possible,delta_storage_frac_of_max_possible,margin_storage_frac_of_max_possible,pass_storage_frac_of_max_possible,policy_esa_min_flow_frac_days_met,historic_esa_min_flow_frac_days_met,delta_esa_min_flow_frac_days_met,margin_esa_min_flow_frac_days_met,pass_esa_min_flow_frac_days_met,policy_flooding_frac_days_met,historic_flooding_frac_days_met,delta_flooding_frac_days_met,margin_flooding_frac_days_met,pass_flooding_frac_days_met,policy_spr_freq_years_meeting_10000cfs_5d,historic_spr_freq_years_meeting_10000cfs_5d,delta_spr_freq_years_meeting_10000cfs_5d,margin_spr_freq_years_meeting_10000cfs_5d,pass_spr_freq_years_meeting_10000cfs_5d,policy_spr_freq_years_meeting_8000cfs_10d,historic_spr_freq_years_meeting_8000cfs_10d,delta_spr_freq_years_meeting_8000cfs_10d,margin_spr_freq_years_meeting_8000cfs_10d,pass_spr_freq_years_meeting_8000cfs_10d,policy_spr_freq_years_meeting_5000cfs_21d,historic_spr_freq_years_meeting_5000cfs_21d,delta_spr_freq_years_meeting_5000cfs_21d,margin_spr_freq_years_meeting_5000cfs_21d,pass_spr_freq_years_meeting_5000cfs_21d,policy_spr_freq_years_meeting_2500cfs_10d,historic_spr_freq_years_meeting_2500cfs_10d,delta_spr_freq_years_meeting_2500cfs_10d,margin_spr_freq_years_meeting_2500cfs_10d,pass_spr_freq_years_meeting_2500cfs_10d,policy_hydropower_frac_of_max_possible,historic_hydropower_frac_of_max_possible,delta_hydropower_frac_of_max_possible,margin_hydropower_frac_of_max_possible,pass_hydropower_frac_of_max_possible,policy_niip_annual_volume_frac_of_contract,historic_niip_annual_volume_frac_of_contract,delta_niip_annual_volume_frac_of_contract,margin_niip_annual_volume_frac_of_contract,pass_niip_annual_volume_frac_of_contract,flood_agent_flooding_available_days,flood_agent_flooding_frac_days_met,flood_agent_flooding_safe_days,flood_flooding_comparison_days,flood_flooding_comparison_profile,flood_historic_flooding_available_days,flood_historic_flooding_frac_days_met,flood_historic_flooding_safe_days
10,reward_jon_p95_oishift875to90_hdisceff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,7,10,False,0.0,0.0,0.0,0.0,True,0.6681603328547684,0.6856296239512203,-0.0174692910964519,-0.0174692910964519,False,0.9750128799587842,0.95801133436373,0.01700154559505418,0.01700154559505418,True,1.0,0.9997422015983501,0.0002577984016498558,0.0002577984016498558,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.18181818181818182,0.2727272727272727,-0.09090909090909088,-0.09090909090909088,False,0.8181818181818182,0.7272727272727273,0.09090909090909094,0.09090909090909094,True,0.2935168836785625,0.3002375563379423,-0.006720672659379812,-0.006720672659379812,False,1.1325804699403927,1.0,0.13258046994039274,0.13258046994039274,True,3880,1.0,3879,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
11,reward_jon_p95_peak875_heff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,9,10,False,0.0,0.0,0.0,0.0,True,0.7168729846396972,0.6856296239512203,0.031243360688476884,0.031243360688476884,True,0.972952086553323,0.95801133436373,0.01494075218959301,0.01494075218959301,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.28550894738234645,0.3002375563379423,-0.014728608955595857,-0.014728608955595857,False,1.0673576967121576,1.0,0.06735769671215763,0.06735769671215763,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
12,reward_jon_p95_peak875_hdisceff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,6,10,False,0.0,0.0,0.0,0.0,True,0.48088902635241637,0.6856296239512203,-0.20474059759880392,-0.20474059759880392,False,0.9657393096342092,0.95801133436373,0.007727975270479193,0.007727975270479193,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.09090909090909091,0.18181818181818182,-0.09090909090909091,-0.09090909090909091,False,0.0,0.2727272727272727,-0.2727272727272727,-0.2727272727272727,False,0.9090909090909091,0.7272727272727273,0.18181818181818177,0.18181818181818177,True,0.2955157972902305,0.3002375563379423,-0.0047217590477118265,-0.0047217590477118265,False,1.1275774826557443,1.0,0.1275774826557443,0.1275774826557443,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
13,reward_jon_p95_plateau90_96_hsoft,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,7,10,False,0.0,0.0,0.0,0.0,True,0.6888887439663282,0.6856296239512203,0.0032591200151078636,0.0032591200151078636,True,0.9384337970118496,0.95801133436373,-0.019577537351880392,-0.019577537351880392,False,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,1.0,0.7272727272727273,0.2727272727272727,0.2727272727272727,True,0.2726741566448694,0.3002375563379423,-0.02756339969307292,-0.02756339969307292,False,0.9839787884128757,1.0,-0.01602121158712433,-0.01602121158712433,False,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
14,reward_jon_p95_plateau90_96_heff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,10,10,True,0.0,0.0,0.0,0.0,True,0.7335924755291305,0.6856296239512203,0.04796285157791025,0.04796285157791025,True,0.9763008758371973,0.95801133436373,0.018289541473467286,0.018289541473467286,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.2727272727272727,0.2727272727272727,0.0,0.0,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.3025423305839455,0.3002375563379423,0.0023047742460031717,0.0023047742460031717,True,1.0250665573226223,1.0,0.025066557322622307,0.025066557322622307,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
15,reward_jon_p95_oishift875to90_heff_niip275,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,10,10,True,0.0,0.0,0.0,0.0,True,0.7187413216184095,0.6856296239512203,0.033111697667189244,0.033111697667189244,True,0.9750128799587842,0.95801133436373,0.01700154559505418,0.01700154559505418,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.2727272727272727,0.2727272727272727,0.0,0.0,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.3013677458635762,0.3002375563379423,0.0011301895256338734,0.0011301895256338734,True,1.0477780456891543,1.0,0.047778045689154336,0.047778045689154336,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
16,reward_jon_p95_oishift875to90_hsoft,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,7,10,False,0.0,0.0,0.0,0.0,True,0.4066326182613813,0.6856296239512203,-0.278997005689839,-0.278997005689839,False,0.9356002060793406,0.95801133436373,-0.022411128284389403,-0.022411128284389403,False,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.2727272727272727,True,1.0,0.7272727272727273,0.2727272727272727,0.2727272727272727,True,0.22220952919794396,0.3002375563379423,-0.07802802713999835,-0.07802802713999835,False,1.1658940387799075,1.0,0.1658940387799075,0.1658940387799075,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
17,reward_jon_p95_oishift875to90_heff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,8,10,False,0.0,0.0,0.0,0.0,True,0.5947076985680698,0.6856296239512203,-0.09092192538315047,-0.09092192538315047,False,0.9873776403915507,0.95801133436373,0.029366306027820754,0.029366306027820754,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.2727272727272727,0.2727272727272727,0.0,0.0,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2975574681246744,0.3002375563379423,-0.0026800882132679282,-0.0026800882132679282,False,1.09843795583443,1.0,0.09843795583442994,0.09843795583442994,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
18,reward_jon_p95_oishift875to90_hdisceff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,8,10,False,0.0,0.0,0.0,0.0,True,0.5713865708545913,0.6856296239512203,-0.11424305309662897,-0.11424305309662897,False,0.9899536321483772,0.95801133436373,0.03194229778464719,0.03194229778464719,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.18181818181818182,0.2727272727272727,-0.09090909090909088,-0.09090909090909088,False,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.30174848105955515,0.3002375563379423,0.0015109247216128496,0.0015109247216128496,True,1.1218413506622436,1.0,0.12184135066224355,0.12184135066224355,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
19,reward_jon_p95_peak875_heff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,8,10,False,0.0,0.0,0.0,0.0,True,0.5294782882149808,0.6856296239512203,-0.15615133573623952,-0.15615133573623952,False,0.9997424008243173,0.95801133436373,0.04173106646058733,0.04173106646058733,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.28348935296785566,0.3002375563379423,-0.016748203370086645,-0.016748203370086645,False,1.195237342784782,1.0,0.195237342784782,0.195237342784782,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
