task_id,experiment,seed,status,git_commit,plan_id,requested_timesteps,resolved_timesteps,started_at,ended_at,error,compatibility_mismatches
34,reward_jon_p95_oishift875to90_hdisceff,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.441654+00:00,2026-09-17T18:08:10.246935+00:00,,
35,reward_jon_p95_peak875_heff,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.434782+00:00,2026-09-17T18:20:10.580062+00:00,,
36,reward_jon_p95_peak875_hdisceff,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.421509+00:00,2026-09-17T18:13:12.740241+00:00,,
37,reward_jon_p95_plateau90_96_hsoft,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.456468+00:00,2026-09-17T18:10:36.383957+00:00,,
38,reward_jon_p95_plateau90_96_heff,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.454401+00:00,2026-09-17T18:19:32.153257+00:00,,
39,reward_jon_p95_oishift875to90_heff_niip275,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.411090+00:00,2026-09-17T18:17:15.217310+00:00,,
40,reward_jon_p95_oishift875to90_hsoft,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.522961+00:00,2026-09-17T18:18:28.110589+00:00,,
41,reward_jon_p95_oishift875to90_heff,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.460720+00:00,2026-09-17T18:20:29.712300+00:00,,
42,reward_jon_p95_oishift875to90_hdisceff,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.465787+00:00,2026-09-17T18:15:27.134781+00:00,,
43,reward_jon_p95_peak875_heff,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.408532+00:00,2026-09-17T18:19:24.732949+00:00,,
44,reward_jon_p95_peak875_hdisceff,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.443470+00:00,2026-09-17T18:13:07.092755+00:00,,
45,reward_jon_p95_plateau90_96_hsoft,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.466999+00:00,2026-09-17T18:19:01.783309+00:00,,
46,reward_jon_p95_plateau90_96_heff,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.415191+00:00,2026-09-17T18:15:07.069871+00:00,,
47,reward_jon_p95_oishift875to90_heff_niip275,5,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.417939+00:00,2026-09-17T18:18:06.400904+00:00,,
48,reward_jon_p95_oishift875to90_hsoft,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.499052+00:00,2026-09-17T18:51:15.458982+00:00,,
49,reward_jon_p95_oishift875to90_heff,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.469676+00:00,2026-09-17T18:20:00.178295+00:00,,
50,reward_jon_p95_oishift875to90_hdisceff,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.468064+00:00,2026-09-17T18:12:08.730394+00:00,,
51,reward_jon_p95_peak875_heff,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.499759+00:00,2026-09-17T18:14:16.603043+00:00,,
52,reward_jon_p95_peak875_hdisceff,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.481587+00:00,2026-09-17T18:13:45.963267+00:00,,
53,reward_jon_p95_plateau90_96_hsoft,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.496982+00:00,2026-09-17T18:16:54.696836+00:00,,
54,reward_jon_p95_plateau90_96_heff,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.480624+00:00,2026-09-17T18:12:42.092028+00:00,,
55,reward_jon_p95_oishift875to90_heff_niip275,6,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.482207+00:00,2026-09-17T18:22:43.646148+00:00,,
56,reward_jon_p95_oishift875to90_hsoft,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.496567+00:00,2026-09-17T18:18:59.693156+00:00,,
57,reward_jon_p95_oishift875to90_heff,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.466653+00:00,2026-09-17T18:17:52.002413+00:00,,
58,reward_jon_p95_oishift875to90_hdisceff,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.473425+00:00,2026-09-17T18:15:21.433387+00:00,,
59,reward_jon_p95_peak875_heff,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.502831+00:00,2026-09-17T18:17:09.697304+00:00,,
60,reward_jon_p95_peak875_hdisceff,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.495211+00:00,2026-09-17T18:19:19.604624+00:00,,
61,reward_jon_p95_plateau90_96_hsoft,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.490167+00:00,2026-09-17T18:15:21.508063+00:00,,
62,reward_jon_p95_plateau90_96_heff,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.484592+00:00,2026-09-17T18:16:13.055063+00:00,,
63,reward_jon_p95_oishift875to90_heff_niip275,7,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.466708+00:00,2026-09-17T18:18:15.946589+00:00,,
64,reward_jon_p95_oishift875to90_hsoft,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.536158+00:00,2026-09-17T18:13:23.441996+00:00,,
65,reward_jon_p95_oishift875to90_heff,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.524991+00:00,2026-09-17T18:14:58.218294+00:00,,
66,reward_jon_p95_oishift875to90_hdisceff,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.517911+00:00,2026-09-17T18:18:44.280675+00:00,,
67,reward_jon_p95_peak875_heff,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.717331+00:00,2026-09-17T18:21:45.686136+00:00,,
68,reward_jon_p95_peak875_hdisceff,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.514829+00:00,2026-09-17T18:16:53.932228+00:00,,
69,reward_jon_p95_plateau90_96_hsoft,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.565908+00:00,2026-09-17T18:19:12.121774+00:00,,
70,reward_jon_p95_plateau90_96_heff,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.552609+00:00,2026-09-17T18:20:48.716471+00:00,,
71,reward_jon_p95_oishift875to90_heff_niip275,8,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.529894+00:00,2026-09-17T18:15:21.438255+00:00,,
72,reward_jon_p95_oishift875to90_hsoft,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.531837+00:00,2026-09-17T18:16:24.929865+00:00,,
73,reward_jon_p95_oishift875to90_heff,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.516980+00:00,2026-09-17T18:13:31.970169+00:00,,
74,reward_jon_p95_oishift875to90_hdisceff,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.747497+00:00,2026-09-17T18:14:35.749815+00:00,,
75,reward_jon_p95_peak875_heff,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.709719+00:00,2026-09-17T18:20:57.437356+00:00,,
76,reward_jon_p95_peak875_hdisceff,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.905374+00:00,2026-09-17T18:21:52.775273+00:00,,
77,reward_jon_p95_plateau90_96_hsoft,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:47.082142+00:00,2026-09-17T18:19:53.554042+00:00,,
78,reward_jon_p95_plateau90_96_heff,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.543924+00:00,2026-09-17T18:17:31.928159+00:00,,
79,reward_jon_p95_oishift875to90_heff_niip275,9,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.983322+00:00,2026-09-17T18:20:21.911154+00:00,,
80,reward_jon_p95_oishift875to90_hsoft,10,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.963044+00:00,2026-09-17T18:15:26.879910+00:00,,
81,reward_jon_p95_oishift875to90_heff,10,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.962220+00:00,2026-09-17T18:13:05.628977+00:00,,
82,reward_jon_p95_oishift875to90_hdisceff,10,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.972981+00:00,2026-09-17T18:20:53.226216+00:00,,
83,reward_jon_p95_peak875_heff,10,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.995074+00:00,2026-09-17T18:11:37.437640+00:00,,
84,reward_jon_p95_peak875_hdisceff,10,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.989360+00:00,2026-09-17T18:13:37.792662+00:00,,
