date,snow_depth_water_equivalent
1958-11-20,0.020080805773645474
1958-11-21,0.018128998565734574
1958-11-22,0.016244994876719505
1958-11-23,0.014628781136795438
1958-11-24,0.013262581688626774
1958-11-25,0.013003701960270038
1958-11-26,0.018332052822896374
1958-11-27,0.024440378036061805
1958-11-28,0.029800794110181272
1958-11-29,0.029687649085619605
1958-11-30,0.028740581149927405
1958-12-01,0.02731351957166317
1958-12-02,0.02565795807502937
1958-12-03,0.02380727393275724
1958-12-04,0.021965441146651405
1958-12-05,0.020075363021335637
1958-12-06,0.018249095188360705
1958-12-07,0.01651730980701564
1958-12-08,0.014945434446131438
1958-12-09,0.013617322992193072
1958-12-10,0.012555513553504006
1958-12-11,0.011913177846382073
1958-12-12,0.011583723334209504
1958-12-13,0.011365954035674272
1958-12-14,0.011063901188646072
1958-12-15,0.010637064831760105
1958-12-16,0.010121930825865872
1958-12-17,0.009532398344110937
1958-12-18,0.008840513889746304
1958-12-19,0.008139544252907539
1958-12-20,0.007480017093669372
1958-12-21,0.006916878064777071
1958-12-22,0.006487020828358771
1958-12-23,0.006169573018141738
1958-12-24,0.005977965509462638
1958-12-25,0.005864446651248638
1958-12-26,0.005757736878879338
1958-12-27,0.006100747016765838
1958-12-28,0.009450471655497372
1958-12-29,0.012926236302637804
1958-12-30,0.01586874337455944
1958-12-31,0.015733444132800305
1959-01-01,0.015508907989725406
1959-01-02,0.01575282568082957
1959-01-03,0.01601701931223217
1959-01-04,0.01616487253323284
1959-01-05,0.01575771884074144
1959-01-06,0.016888298186782204
1959-01-07,0.017975517155751405
1959-01-08,0.018991842386791604
1959-01-09,0.018032780956667837
1959-01-10,0.01673215295584554
1959-01-11,0.01537309380634237
1959-01-12,0.014131213707060072
1959-01-13,0.013252858256352472
1959-01-14,0.012988197200050107
1959-01-15,0.013006525903475305
1959-01-16,0.013026324513231038
1959-01-17,0.012559755256091737
1959-01-18,0.011948371115705438
1959-01-19,0.013058190321474436
1959-01-20,0.01475502142136507
1959-01-21,0.01659100505813067
1959-01-22,0.016664875270985573
1959-01-23,0.016090386045165037
1959-01-24,0.015360431737939238
1959-01-25,0.014583500431283038
1959-01-26,0.014159388999125272
1959-01-27,0.01378678524050124
1959-01-28,0.014220727169373273
1959-01-29,0.014395089864503103
1959-01-30,0.01552346245341527
1959-01-31,0.01773827089621207
1959-02-01,0.024535568456519205
1959-02-02,0.031062584475930504
1959-02-03,0.03596196243695414
1959-02-04,0.036563146611529145
1959-02-05,0.03660165030119031
1959-02-06,0.03637555267202821
1959-02-07,0.035861630532362805
1959-02-08,0.04130420203574791
1959-02-09,0.04744977853891011
1959-02-10,0.05371613864570774
1959-02-11,0.054474667848503876
1959-02-12,0.057026456131824305
1959-02-13,0.05953943236016121
1959-02-14,0.06162790825548387
1959-02-15,0.06210276792854764
1959-02-16,0.06632517952328464
1959-02-17,0.07096036548486984
1959-02-18,0.07550929883831214
1959-02-19,0.07653340595765164
1959-02-20,0.07733241360265718
1959-02-21,0.08166531308066961
1959-02-22,0.08599968496988782
1959-02-23,0.09019433711980114
1959-02-24,0.09030580778707942
1959-02-25,0.09022017987963887
1959-02-26,0.09006442267664756
1959-02-27,0.08979769874173194
1959-02-28,0.08944724206520627
1959-03-01,0.08892273557523911
1959-03-02,0.08812602835451487
1959-03-03,0.08792942350588574
1959-03-04,0.08810338029736968
1959-03-05,0.08852181830098015
1959-03-06,0.08847856737936581
1959-03-07,0.08818387199609534
1959-03-08,0.08781032109101161
1959-03-09,0.08719791052106918
1959-03-10,0.08660393871725162
1959-03-11,0.08602002246939278
1959-03-12,0.08542797706644084
1959-03-13,0.08472499658407891
1959-03-14,0.08394951886411157
1959-03-15,0.08325280428919511
1959-03-16,0.08251348387394238
1959-03-17,0.08141473538174977
1959-03-18,0.08003041001119193
1959-03-19,0.07902401702793421
1959-03-20,0.07850361204344695
1959-03-21,0.0780925544649505
1959-03-22,0.07704763027635664
1959-03-23,0.07554191159275984
1959-03-24,0.07618770471085261
1959-03-25,0.07808641641999992
1959-03-26,0.0801900995646795
1959-03-27,0.08077115991319754
1959-03-28,0.08061234744556844
1959-03-29,0.08084893678260134
1959-03-30,0.0826112504826728
1959-03-31,0.08392894028934168
1959-04-01,0.08430053131931797
1959-04-02,0.08099927024756298
1959-04-03,0.07572109677995781
1959-04-04,0.06910925570357117
1959-04-05,0.061980169504852474
1959-04-06,0.05576263150376378
1959-04-07,0.05744316580947594
1959-04-08,0.06329365802851124
1959-04-09,0.0705491682785554
1959-04-10,0.0717864028590001
1959-04-11,0.07069892099198931
1959-04-12,0.06917090470606417
1959-04-13,0.0671115127273215
1959-04-14,0.06455830888587251
1959-04-15,0.06181083420817544
1959-04-16,0.059632570566701404
1959-04-17,0.059196857501275575
1959-04-18,0.059856888785630946
1959-04-19,0.061018690035169375
1959-04-20,0.06147022913004028
1959-04-21,0.06133425266110418
1959-04-22,0.06059259440025225
1959-04-23,0.059070336898395644
1959-04-24,0.05687987094698191
1959-04-25,0.054603582884391676
1959-04-26,0.05393772613315284
1959-04-27,0.05367328451910205
1959-04-28,0.05339227414214661
1959-04-29,0.05150843846953551
1959-04-30,0.049058569005172546
1959-05-01,0.046097826479499206
1959-05-02,0.043275397471355344
1959-05-03,0.041669813207439906
1959-05-04,0.04113837261558224
1959-05-05,0.04104141918043924
1959-05-06,0.040478436364675206
1959-05-07,0.040816345362100076
1959-05-08,0.040955021593154006
1959-05-09,0.041179520618532243
1959-05-10,0.040123852261006177
1959-05-11,0.038773354205763375
1959-05-12,0.036794402423993476
1959-05-13,0.034256158646259006
1959-05-14,0.031315342213309776
1959-05-15,0.028665877117240807
1959-05-16,0.02649462837885994
1959-05-17,0.02503400253513294
1959-05-18,0.023763395463991477
1959-05-19,0.022789786781182306
1959-05-20,0.022161798430111578
1959-05-21,0.02226056334548071
1959-05-22,0.022314009299061174
1959-05-23,0.022111170043690277
1959-05-24,0.021108199099528876
1959-05-25,0.020094515373280972
1959-05-26,0.019198477059479375
1959-05-27,0.01856450903988764
1959-05-28,0.017883751431076206
1959-05-29,0.017136360307819176
1959-05-30,0.01640533615319981
1959-05-31,0.01572718547431194
1959-06-01,0.015144768052706842
1959-06-02,0.014592976032719774
1959-06-03,0.013967672604278775
1959-06-04,0.013248116945013474
1959-06-05,0.012425178670837608
1959-06-06,0.011528734453390109
1959-06-07,0.010570683057275543
1959-06-08,0.009601760692408175
1959-06-09,0.008732033891686974
1959-06-10,0.007959397345430275
1959-06-11,0.007215600718134208
1959-06-12,0.0064262152097666414
1959-06-13,0.005492590901503276
1959-06-14,0.004474071285900008
1959-06-15,0.0034894797878636083
1959-06-16,0.0026269843342273413
1959-06-17,0.0019199025361487417
1959-06-18,0.001337702203730606
1959-06-19,0.0009172845516794216
1959-06-20,0.0006219634050322924
1959-06-21,0.0004263344709754446
1959-06-22,0.00028210481766951156
1959-06-23,0.00018196730657737745
1959-06-24,0.00011186571646484734
1959-06-25,6.489744614511483e-05
1959-06-26,3.655622507200911e-05
1959-06-27,2.0877869407795035e-05
1959-06-28,1.2783972331237167e-05
1959-06-29,7.707804716650411e-06
1959-06-30,4.5227040458544175e-06
1959-07-01,2.657331049540854e-06
1959-07-02,1.5793617878054706e-06
1959-07-03,9.225531392967725e-07
1959-07-04,5.073890455699349e-07
1959-07-05,2.7439769614228563e-07
1959-07-06,1.5116542515489723e-07
1959-07-07,8.064939204908649e-08
1959-07-08,4.417689053418651e-08
1959-07-09,2.292340369928121e-08
1959-07-10,1.1879181076142928e-08
1959-07-11,5.8447089212323195e-09
1959-07-12,3.339833687118481e-09
1959-07-13,1.669916864375922e-09
1959-07-14,8.349584530046423e-10
1959-07-15,-7.345364920210326e-25
1959-07-16,-7.345364920210326e-25
1959-07-17,-7.345364920210326e-25
1959-07-18,-7.345364920210326e-25
1959-07-19,-7.345364920210326e-25
1959-07-20,-7.345364920210326e-25
1959-07-21,-7.345364920210326e-25
