date,initial_storage_af,initial_storage_maf,storage_af,storage_maf
2024-05-12,400000.0,0.4,1317553.9974760348,1.3175539974760349
2024-05-13,400000.0,0.4,1318210.8437468403,1.3182108437468403
2024-05-14,400000.0,0.4,1319949.7722268782,1.3199497722268783
2024-05-15,400000.0,0.4,1321360.7395027184,1.3213607395027185
2024-05-16,400000.0,0.4,1323486.6399902557,1.3234866399902556
2024-05-17,400000.0,0.4,1325523.8117094836,1.3255238117094836
2024-05-18,400000.0,0.4,1328348.2401539125,1.3283482401539124
2024-05-19,400000.0,0.4,1329346.30810729,1.32934630810729
2024-05-20,400000.0,0.4,1332441.1455469925,1.3324411455469924
2024-05-21,400000.0,0.4,1334467.2006967328,1.3344672006967329
2024-05-22,400000.0,0.4,1335962.3512830266,1.3359623512830265
2024-05-23,400000.0,0.4,1336230.881546549,1.3362308815465491
2024-05-24,400000.0,0.4,1338679.6954474573,1.3386796954474574
2024-05-25,400000.0,0.4,1340906.0595203356,1.3409060595203357
2024-05-26,400000.0,0.4,1341060.6611894737,1.3410606611894738
2024-05-27,400000.0,0.4,1343533.9617815022,1.3435339617815023
2024-05-28,400000.0,0.4,1346264.0711461615,1.3462640711461615
2024-05-29,400000.0,0.4,1347726.6716182255,1.3477266716182255
2024-05-30,400000.0,0.4,1349331.8643426741,1.3493318643426742
2024-05-31,400000.0,0.4,1351217.2630199012,1.3512172630199013
2024-06-01,400000.0,0.4,1353059.1672555993,1.3530591672555994
2024-06-02,400000.0,0.4,1355082.628488817,1.355082628488817
2024-06-03,400000.0,0.4,1357316.4247372923,1.3573164247372924
2024-06-04,400000.0,0.4,1359873.020040221,1.3598730200402211
2024-06-05,400000.0,0.4,1362473.693296441,1.3624736932964412
2024-06-06,400000.0,0.4,1365421.3192659575,1.3654213192659574
2024-06-07,400000.0,0.4,1367844.6448851426,1.3678446448851425
2024-06-08,400000.0,0.4,1370558.5645842361,1.3705585645842362
2024-06-09,400000.0,0.4,1372576.759532338,1.372576759532338
2024-06-10,400000.0,0.4,1374342.368292147,1.374342368292147
2024-06-11,400000.0,0.4,1375761.6199284315,1.3757616199284315
2024-06-12,400000.0,0.4,1376493.02211622,1.3764930221162202
2024-06-13,400000.0,0.4,1377134.985678673,1.377134985678673
2024-06-14,400000.0,0.4,1377226.3897147141,1.3772263897147141
2024-06-15,400000.0,0.4,1377790.3867572832,1.3777903867572832
2024-06-16,400000.0,0.4,1377646.5728445684,1.3776465728445684
2024-06-17,400000.0,0.4,1376977.7219352801,1.3769777219352801
2024-06-18,400000.0,0.4,1376488.1945676175,1.3764881945676175
2024-06-19,400000.0,0.4,1375698.840846787,1.375698840846787
2024-06-20,400000.0,0.4,1375304.8339153558,1.3753048339153557
2024-06-21,400000.0,0.4,1376101.7273628218,1.3761017273628218
2024-06-22,400000.0,0.4,1380198.65632988,1.38019865632988
2024-06-23,400000.0,0.4,1381379.9136438211,1.3813799136438212
2024-06-24,400000.0,0.4,1381800.5304207841,1.381800530420784
2024-06-25,400000.0,0.4,1382160.8946465028,1.3821608946465027
2024-06-26,400000.0,0.4,1381997.2217225397,1.3819972217225398
2024-06-27,400000.0,0.4,1382581.6878112054,1.3825816878112054
2024-06-28,400000.0,0.4,1382324.3433078816,1.3823243433078816
2024-06-29,400000.0,0.4,1382442.9444439237,1.3824429444439237
2024-06-30,400000.0,0.4,1382294.1573108723,1.3822941573108722
2024-07-01,400000.0,0.4,1385048.9298740027,1.3850489298740027
2024-07-02,400000.0,0.4,1388462.8896863563,1.3884628896863562
2024-07-03,400000.0,0.4,1389272.7141271154,1.3892727141271155
2024-07-04,400000.0,0.4,1389513.2145921304,1.3895132145921303
2024-07-05,400000.0,0.4,1389240.0785643293,1.3892400785643293
2024-07-06,400000.0,0.4,1388607.3668765952,1.3886073668765953
2024-07-07,400000.0,0.4,1387655.3482272497,1.3876553482272498
2024-07-08,400000.0,0.4,1386952.0749428894,1.3869520749428894
2024-07-09,400000.0,0.4,1385776.3143560328,1.3857763143560327
2024-07-10,400000.0,0.4,1384508.218263178,1.3845082182631778
2024-07-11,400000.0,0.4,1383356.305999481,1.383356305999481
2024-07-12,400000.0,0.4,1382250.071943402,1.382250071943402
2024-07-13,400000.0,0.4,1381222.9524804824,1.3812229524804824
2024-07-14,400000.0,0.4,1380089.7885616482,1.3800897885616483
2024-07-15,400000.0,0.4,1378990.926709696,1.378990926709696
2024-07-16,400000.0,0.4,1377557.8531440946,1.3775578531440946
2024-07-17,400000.0,0.4,1376145.3943351011,1.3761453943351012
2024-07-18,400000.0,0.4,1374636.1450790775,1.3746361450790774
2024-07-19,400000.0,0.4,1373314.688137804,1.373314688137804
2024-07-20,400000.0,0.4,1372135.8877941563,1.3721358877941563
2024-07-21,400000.0,0.4,1371043.9092257088,1.3710439092257087
2024-07-22,400000.0,0.4,1370137.897424076,1.3701378974240759
2024-07-23,400000.0,0.4,1369321.467491521,1.369321467491521
2024-07-24,400000.0,0.4,1367868.1781974593,1.3678681781974593
2024-07-25,400000.0,0.4,1366497.3619879184,1.3664973619879184
2024-07-26,400000.0,0.4,1365235.476998897,1.365235476998897
2024-07-27,400000.0,0.4,1363620.9369410134,1.3636209369410135
2024-07-28,400000.0,0.4,1362109.434687079,1.362109434687079
2024-07-29,400000.0,0.4,1360465.1753167321,1.360465175316732
2024-07-30,400000.0,0.4,1358557.4766837903,1.3585574766837902
2024-07-31,400000.0,0.4,1356665.3755314965,1.3566653755314966
2024-08-01,400000.0,0.4,1354626.6460794106,1.3546266460794105
2024-08-02,400000.0,0.4,1352337.5989725022,1.3523375989725022
2024-08-03,400000.0,0.4,1350248.4045161337,1.3502484045161338
2024-08-04,400000.0,0.4,1348600.9157686867,1.3486009157686867
2024-08-05,400000.0,0.4,1346323.2404653616,1.3463232404653616
2024-08-06,400000.0,0.4,1343879.9007014364,1.3438799007014364
2024-08-07,400000.0,0.4,1342675.8497127425,1.3426758497127425
2024-08-08,400000.0,0.4,1340991.4386153973,1.3409914386153974
2024-08-09,400000.0,0.4,1339562.0664595377,1.3395620664595378
2024-08-10,400000.0,0.4,1339397.467335906,1.3393974673359061
2024-08-11,400000.0,0.4,1340164.9222288292,1.3401649222288292
