,Elevation (ft),Capacity (ac-ft),Area (ac)
322,5778.22,1650.33,534.04
323,5778.23,1655.67,534.2
324,5778.24,1661.02,534.36
325,5778.25,1666.36,534.51
326,5778.26,1671.7,534.67
327,5778.2699999999995,1677.05,534.82
328,5778.28,1682.4,534.98
329,5778.29,1687.75,535.13
330,5778.3,1693.1,535.29
331,5778.31,1698.45,535.44
332,5778.320000000001,1703.81,535.6
333,5778.33,1709.16,535.75
334,5778.34,1714.52,535.91
335,5778.35,1719.88,536.06
336,5778.360000000001,1725.24,536.22
337,5778.37,1730.6,536.37
338,5778.38,1735.97,536.53
339,5778.39,1741.33,536.68
340,5778.4,1746.7,536.84
341,5778.41,1752.07,536.99
342,5778.42,1757.44,537.15
343,5778.429999999999,1762.81,537.31
344,5778.44,1768.18,537.46
345,5778.45,1773.55,537.62
346,5778.46,1778.93,537.77
347,5778.469999999999,1784.31,537.93
348,5778.48,1789.69,538.08
349,5778.49,1795.07,538.24
350,5778.5,1800.45,538.39
351,5778.51,1805.83,538.55
352,5778.52,1811.22,538.7
353,5778.53,1816.6,538.86
354,5778.54,1821.99,539.01
355,5778.55,1827.38,539.17
356,5778.56,1832.77,539.32
357,5778.57,1838.16,539.48
358,5778.58,1843.56,539.63
359,5778.59,1848.95,539.79
360,5778.6,1854.35,539.94
361,5778.610000000001,1859.75,540.1
362,5778.620000000001,1865.15,540.26
363,5778.63,1870.55,540.41
364,5778.64,1875.95,540.57
365,5778.650000000001,1881.36,540.72
366,5778.660000000001,1886.76,540.88
367,5778.67,1892.17,541.03
368,5778.68,1897.58,541.19
369,5778.6900000000005,1902.99,541.34
370,5778.7,1908.4,541.5
371,5778.71,1913.82,541.65
372,5778.72,1919.23,541.81
373,5778.73,1924.65,541.96
374,5778.74,1930.07,542.12
375,5778.75,1935.49,542.27
376,5778.76,1940.91,542.43
377,5778.7699999999995,1946.33,542.58
378,5778.78,1951.76,542.74
379,5778.79,1957.18,542.9
380,5778.8,1962.61,543.05
381,5778.81,1968.04,543.21
382,5778.820000000001,1973.47,543.36
383,5778.83,1978.9,543.52
384,5778.84,1984.34,543.67
385,5778.85,1989.77,543.83
386,5778.860000000001,1995.21,543.98
387,5778.87,2000.65,544.14
388,5778.88,2006.09,544.29
389,5778.89,2011.53,544.45
390,5778.9,2016.97,544.6
